Brand,Model,Range(km),Long_distance_range(km),Battery(kWh),Weight(kg),Seating_capacity,Car_segment,Acceleration_time(0-100 Kmph[in seconds]),Efficiency(Wh/km),Fastcharge_power(kW),Towing_capacity(kg),Cargo_volume(L),Price_per_range(€),Germany_Price(€),Range_per_kWh,Charging_km_per_min,Price_per_kWh,Price_Category
Audi,A6 Sportback e-tron performance,600.0,730.0,94.9,2.25,5.0,E,5.4,158.0,200.0,750.0,529.0,129.0,75600.0,6.32,75.95,796.63,Premium (€60k–€90k)
Kia,EV9 99.8 kWh AWD,435.0,485.0,96.0,2.625,7.0,F,6.0,221.0,194.0,750.0,385.0,162.0,68990.0,4.53,52.67,718.65,Premium (€60k–€90k)
Toyota,bZ4X AWD (MY22-24),345.0,377.0,64.0,2.07,5.0,C,6.9,186.0,100.0,750.0,452.0,154.0,50490.0,5.39,32.26,788.91,Mid-range (€30k–€60k)
Jaecoo,5 EV,325.0,341.0,58.9,1.765,5.0,C,7.7,181.0,80.0,750.0,480.0,97.0,44990.0,5.52,26.52,763.84,Mid-range (€30k–€60k)
Hyundai,IONIQ 6 Standard Range 2WD,335.0,418.0,50.0,1.85,5.0,D,8.8,149.0,120.0,750.0,446.0,134.0,43900.0,6.7,48.32,878.0,Mid-range (€30k–€60k)
Peugeot,e-3008 73 kWh,380.0,397.0,73.0,2.183,5.0,C,8.8,192.0,90.0,750.0,588.0,129.0,48750.0,5.21,28.12,667.81,Mid-range (€30k–€60k)
Hyundai,IONIQ 5 84 kWh AWD (MY24),445.0,553.0,80.0,2.165,5.0,C,5.3,180.0,205.0,750.0,544.0,134.0,59400.0,5.56,68.33,742.5,Mid-range (€30k–€60k)
Polestar,2 Long Range Single Motor,420.0,451.0,75.0,2.069,5.0,D,7.4,179.0,108.0,750.0,440.0,124.0,50995.0,5.6,36.2,679.93,Mid-range (€30k–€60k)
Tesla,Model 3 Performance (Highland),515.0,603.0,79.0,1.929,5.0,D,3.4,153.0,120.0,750.0,682.0,121.0,59470.0,6.52,47.06,752.78,Mid-range (€30k–€60k)
Voyah,Free 106 kWh,480.0,433.0,100.0,2.415,5.0,E,4.4,208.0,80.0,750.0,622.0,138.0,44990.0,4.8,23.08,449.9,Mid-range (€30k–€60k)
Hyundai,IONIQ 5 Standard Range 2WD (MY21),295.0,367.0,54.0,1.905,5.0,C,8.5,183.0,140.0,750.0,588.0,162.0,43900.0,5.46,45.9,812.96,Mid-range (€30k–€60k)
Smart,#5 Premium (MY25),465.0,579.0,94.0,2.335,5.0,D,6.5,202.0,230.0,750.0,702.0,120.0,55400.0,4.95,68.32,589.36,Mid-range (€30k–€60k)
Mini,Cooper SE,330.0,356.0,49.2,1.68,4.0,B,6.7,149.0,75.0,750.0,200.0,117.0,36900.0,6.71,30.2,750.0,Mid-range (€30k–€60k)
Polestar,2 Long Range Dual Motor,390.0,419.0,75.0,2.188,5.0,D,4.7,192.0,108.0,750.0,440.0,144.0,54995.0,5.2,33.75,733.27,Mid-range (€30k–€60k)
Tesla,Model S 100D,485.0,486.0,95.0,2.29,5.0,F,4.3,196.0,100.0,750.0,895.0,223.0,108420.0,5.11,30.61,1141.26,Luxury (€90k–€150k)
Tesla,Model Y Premium RWD (Juniper),470.0,552.0,75.0,1.976,5.0,D,5.6,160.0,124.0,750.0,971.0,108.0,50970.0,6.27,46.5,679.6,Mid-range (€30k–€60k)
CUPRA,Tavascan Endurance,445.0,467.0,77.0,2.178,5.0,C,6.8,173.0,120.0,750.0,540.0,120.0,56210.0,5.78,41.62,730.0,Mid-range (€30k–€60k)
BMW,i4 M50,450.0,510.0,80.7,2.29,5.0,D,3.9,179.0,131.0,750.0,470.0,170.0,70800.0,5.58,43.91,877.32,Premium (€60k–€90k)
MG,IM6 Long Range,500.0,629.0,96.5,2.32,5.0,D,5.4,193.0,250.0,750.0,697.0,110.0,44990.0,5.18,77.72,466.22,Mid-range (€30k–€60k)
Volkswagen,ID.3 Pro,350.0,378.0,58.0,1.815,5.0,C,7.3,166.0,82.0,750.0,385.0,125.0,39995.0,6.03,29.64,689.57,Mid-range (€30k–€60k)
Hyundai,INSTER Standard Range,255.0,266.0,39.0,1.38,4.0,A,11.7,153.0,60.0,750.0,280.0,98.0,23900.0,6.54,23.53,612.82,Budget (<€30k)
Tesla,Model Y Long Range AWD,425.0,484.0,72.0,2.056,5.0,D,5.0,169.0,108.0,750.0,971.0,147.0,59965.0,5.9,38.34,832.85,Mid-range (€30k–€60k)
Volkswagen,ID.3 Pure (MY24-26),325.0,376.0,52.0,1.787,5.0,C,8.2,160.0,90.0,750.0,385.0,100.0,33330.0,6.25,33.75,640.96,Mid-range (€30k–€60k)
Jeep,Avenger Electric,310.0,327.0,50.8,1.595,5.0,B,9.0,164.0,85.0,750.0,355.0,122.0,38500.0,6.1,31.1,757.87,Mid-range (€30k–€60k)
Opel,Corsa-e (MY22-23),295.0,321.0,46.3,1.53,5.0,B,8.1,157.0,78.0,750.0,267.0,127.0,36395.0,6.37,29.81,786.07,Mid-range (€30k–€60k)
Zeekr,001 Performance AWD,480.0,524.0,94.0,2.41,5.0,E,3.8,196.0,135.0,750.0,539.0,134.0,44990.0,5.11,41.33,478.62,Mid-range (€30k–€60k)
Volkswagen,e-Up!,205.0,188.0,32.3,1.248,4.0,A,11.9,158.0,30.0,750.0,250.0,136.0,29995.0,6.35,11.39,928.64,Budget (<€30k)
Tesla,Model 3 Performance,460.0,543.0,75.0,1.919,5.0,D,3.6,163.0,124.0,750.0,649.0,130.0,57668.0,6.13,45.64,768.91,Mid-range (€30k–€60k)
Mazda,MX-30,170.0,167.0,30.0,1.72,5.0,C,9.7,176.0,32.0,750.0,366.0,212.0,35990.0,5.67,10.91,1199.67,Mid-range (€30k–€60k)
BMW,i4 eDrive40,515.0,589.0,81.3,2.125,5.0,D,5.6,158.0,131.0,750.0,470.0,124.0,60500.0,6.33,49.75,744.16,Premium (€60k–€90k)
Mazda,6e Long Range 80 kWh,440.0,421.0,75.0,2.037,5.0,D,7.8,170.0,70.0,750.0,526.0,107.0,46500.0,5.87,24.71,620.0,Mid-range (€30k–€60k)
Hyundai,IONIQ 9 Long Range AWD,495.0,567.0,106.0,2.653,7.0,F,6.7,214.0,195.0,750.0,390.0,160.0,81500.0,4.67,54.67,768.87,Premium (€60k–€90k)
Leapmotor,C10 RWD 81.9 kWh,410.0,439.0,81.9,2.13,5.0,D,6.6,200.0,120.0,750.0,435.0,103.0,41900.0,5.01,36.0,511.6,Mid-range (€30k–€60k)
BMW,i4 eDrive35,430.0,486.0,67.1,2.075,5.0,D,6.0,156.0,95.0,750.0,470.0,137.0,57500.0,6.41,36.54,856.93,Mid-range (€30k–€60k)
Kia,EV4 Fastback 81.4 kWh,495.0,518.0,78.0,1.9,5.0,C,7.7,158.0,105.0,750.0,490.0,93.0,47140.0,6.35,39.87,604.36,Mid-range (€30k–€60k)
Hyundai,IONIQ Electric,190.0,225.0,28.0,1.495,5.0,C,9.9,147.0,65.0,750.0,350.0,173.0,33300.0,6.79,26.53,1189.29,Mid-range (€30k–€60k)
Hongqi,E-HS9 99 kWh,370.0,367.0,90.0,2.705,5.0,F,4.9,243.0,112.0,750.0,438.0,216.0,44990.0,4.11,27.65,499.89,Mid-range (€30k–€60k)
Polestar,4 Long Range Single Motor,495.0,533.0,94.0,2.305,5.0,E,7.4,190.0,135.0,750.0,541.0,133.0,63200.0,5.27,42.63,672.34,Premium (€60k–€90k)
Hyundai,IONIQ 6 Long Range AWD,440.0,568.0,74.0,2.095,5.0,D,5.1,168.0,200.0,750.0,416.0,135.0,61100.0,5.95,71.43,825.68,Premium (€60k–€90k)
Nissan,LEAF 40 kWh (MY18-22),235.0,218.0,39.0,1.58,5.0,C,7.9,166.0,40.0,750.0,435.0,136.0,29990.0,6.03,14.46,768.97,Budget (<€30k)
Hyundai,IONIQ 5 Long Range 2WD (MY22),390.0,492.0,74.0,2.01,5.0,C,7.3,190.0,200.0,750.0,584.0,132.0,47900.0,5.27,63.16,647.3,Mid-range (€30k–€60k)
Volkswagen,ID.7 Tourer Pro S (MY26),520.0,589.0,86.0,2.235,5.0,E,6.7,165.0,145.0,750.0,605.0,116.0,59895.0,6.05,52.73,696.45,Mid-range (€30k–€60k)
MG,MG4 Electric 77 kWh,425.0,454.0,74.4,1.826,5.0,C,6.5,175.0,110.0,500.0,363.0,101.0,45990.0,5.71,37.71,618.15,Mid-range (€30k–€60k)
Tesla,Model S AWD (MY26),590.0,667.0,95.0,2.167,5.0,F,3.2,161.0,140.0,750.0,798.0,188.0,110970.0,6.21,52.17,1168.11,Luxury (€90k–€150k)
Smart,EQ fortwo coupe,100.0,71.0,16.7,1.095,2.0,A,11.6,167.0,0.0,750.0,260.0,241.0,21940.0,5.99,0.0,1313.77,Budget (<€30k)
Renault,Scenic E-Tech EV87 220hp,480.0,481.0,87.0,1.917,5.0,C,7.9,181.0,95.0,750.0,545.0,100.0,48900.0,5.52,31.49,562.07,Mid-range (€30k–€60k)
BYD,HAN,475.0,473.0,85.4,2.325,5.0,E,3.9,180.0,85.0,750.0,410.0,146.0,69020.0,5.56,28.33,808.2,Premium (€60k–€90k)
Alpine,A390 GTS,470.0,516.0,89.0,2.196,5.0,D,3.9,189.0,140.0,750.0,532.0,168.0,77000.0,5.28,44.44,865.17,Premium (€60k–€90k)
BYD,DOLPHIN SURF 43.2 kWh Boost,270.0,283.0,43.2,1.445,4.0,B,12.1,160.0,60.0,750.0,308.0,95.0,26990.0,6.25,22.5,624.77,Budget (<€30k)
Citroën,ë-C3 Aircross Extended Range 54 kWh,290.0,298.0,53.5,1.608,5.0,B,13.0,184.0,70.0,550.0,460.0,101.0,30690.0,5.42,22.83,573.64,Mid-range (€30k–€60k)
Hyundai,IONIQ 5 Long Range AWD (MY22),385.0,484.0,74.0,2.12,5.0,C,5.1,192.0,200.0,750.0,551.0,154.0,59200.0,5.2,62.5,800.0,Mid-range (€30k–€60k)
BYD,DOLPHIN 60.4 kWh (MY25),350.0,354.0,60.5,1.733,5.0,C,7.0,173.0,75.0,750.0,345.0,101.0,34640.0,5.79,26.01,572.56,Mid-range (€30k–€60k)
Tesla,Model X Plaid,465.0,516.0,95.0,2.539,6.0,F,2.9,204.0,140.0,750.0,608.0,280.0,125970.0,4.89,41.18,1326.0,Luxury (€90k–€150k)
Smart,#5 Brabus (MY25),450.0,561.0,94.0,2.453,5.0,D,3.8,209.0,230.0,750.0,677.0,136.0,60900.0,4.79,66.03,647.87,Premium (€60k–€90k)
TOGG,T10X Long Range RWD,440.0,469.0,85.0,2.173,5.0,C,7.8,193.0,115.0,750.0,441.0,91.0,40118.0,5.18,35.75,471.98,Mid-range (€30k–€60k)
BYD,SEALION 7 82.5 kWh AWD Design,405.0,431.0,82.5,2.415,5.0,D,4.5,204.0,115.0,750.0,578.0,138.0,53990.0,4.91,33.82,654.42,Mid-range (€30k–€60k)
Lucid,Gravity Grand Touring (MY26),625.0,737.0,123.0,2.684,7.0,F,3.6,197.0,210.0,750.0,385.0,189.0,116900.0,5.08,63.96,950.41,Luxury (€90k–€150k)
BMW,iX xDrive60,525.0,554.0,109.1,2.58,5.0,E,4.6,208.0,150.0,750.0,500.0,195.0,99900.0,4.81,43.27,915.67,Luxury (€90k–€150k)
XPENG,G9 RWD Long Range (MY25),480.0,619.0,92.2,2.365,5.0,E,6.4,192.0,330.0,750.0,731.0,135.0,63600.0,5.21,103.12,689.8,Premium (€60k–€90k)
Volvo,EX30 Single Motor (MY24-26),275.0,306.0,49.0,1.84,5.0,B,5.7,178.0,80.0,750.0,325.0,137.0,39790.0,5.61,26.97,812.04,Mid-range (€30k–€60k)
Peugeot,e-208 (MY20-21),270.0,294.0,46.3,1.53,5.0,B,8.1,171.0,78.0,750.0,265.0,119.0,30450.0,5.83,27.37,657.67,Mid-range (€30k–€60k)
Volkswagen,ID.3 Pro,350.0,378.0,58.0,1.812,5.0,C,9.6,166.0,82.0,750.0,385.0,104.0,35460.0,6.03,29.64,611.38,Mid-range (€30k–€60k)
Peugeot,e-208 (MY22),285.0,311.0,46.3,1.53,5.0,B,9.0,162.0,78.0,750.0,265.0,129.0,39100.0,6.16,28.89,844.49,Mid-range (€30k–€60k)
Tesla,Model Y RWD (BYD LFP),345.0,429.0,57.0,1.992,5.0,D,6.9,165.0,140.0,750.0,971.0,139.0,45970.0,6.05,50.91,806.49,Mid-range (€30k–€60k)
Renault,Megane E-Tech EV60 220hp (TU2025),380.0,410.0,60.0,1.719,5.0,C,7.4,158.0,87.0,900.0,440.0,101.0,40990.0,6.33,33.04,683.17,Mid-range (€30k–€60k)
Tesla,Model X 100D,435.0,434.0,95.0,2.533,7.0,F,4.9,218.0,100.0,750.0,385.0,259.0,115000.0,4.58,27.52,1210.53,Luxury (€90k–€150k)
Škoda,Enyaq iV 60 (MY21-23),340.0,361.0,58.0,1.965,5.0,C,8.7,171.0,82.0,750.0,585.0,129.0,42100.0,5.86,28.77,725.86,Mid-range (€30k–€60k)
Tesla,Model Y Long Range AWD Launch Series (Juniper),455.0,535.0,75.0,2.072,5.0,D,4.3,165.0,124.0,750.0,971.0,142.0,61970.0,6.07,45.09,826.27,Premium (€60k–€90k)
MG,ZS EV,220.0,222.0,42.5,1.566,5.0,B,8.2,193.0,53.0,750.0,448.0,141.0,31990.0,5.18,16.48,752.71,Mid-range (€30k–€60k)
Tesla,Model S Plaid (MY26),565.0,639.0,95.0,2.272,5.0,F,2.4,168.0,140.0,750.0,798.0,214.0,120970.0,5.95,50.0,1273.37,Luxury (€90k–€150k)
Dacia,Spring Electric 45,165.0,151.0,25.0,1.012,4.0,A,19.1,152.0,29.0,750.0,300.0,134.0,22550.0,6.6,11.45,902.0,Budget (<€30k)
BMW,iX xDrive45,470.0,490.0,94.8,2.525,5.0,E,5.1,202.0,115.0,750.0,500.0,182.0,83500.0,4.96,34.16,880.8,Premium (€60k–€90k)
Audi,e-tron GT quattro,420.0,529.0,85.0,2.35,4.0,F,4.1,202.0,216.0,750.0,490.0,253.0,106050.0,4.94,64.16,1247.65,Luxury (€90k–€150k)
Peugeot,e-3008 97 kWh Long Range,500.0,512.0,96.9,2.241,5.0,C,8.7,194.0,135.0,750.0,588.0,106.0,52850.0,5.16,41.75,545.41,Mid-range (€30k–€60k)
Polestar,4 Long Range Dual Motor,485.0,524.0,94.0,2.43,5.0,E,3.8,194.0,135.0,750.0,541.0,152.0,71200.0,5.16,41.75,757.45,Premium (€60k–€90k)
Kia,EV6 Long Range 2WD,455.0,565.0,80.0,2.05,5.0,C,7.3,176.0,205.0,750.0,542.0,111.0,49990.0,5.69,69.89,624.88,Mid-range (€30k–€60k)
Tesla,Model 3 Long Range RWD,495.0,586.0,75.0,1.825,5.0,D,5.9,152.0,124.0,750.0,649.0,102.0,44990.0,6.6,48.95,599.87,Mid-range (€30k–€60k)
Mercedes-Benz,EQB 300 4MATIC,345.0,357.0,66.5,2.165,7.0,C,8.0,193.0,100.0,750.0,495.0,174.0,55519.0,5.19,31.09,834.87,Mid-range (€30k–€60k)
Porsche,Macan Electric (MY25),495.0,587.0,95.0,2.295,5.0,D,5.7,192.0,200.0,750.0,624.0,165.0,80700.0,5.21,62.5,849.47,Premium (€60k–€90k)
Renault,5 E-Tech 40kWh 95hp,260.0,188.0,40.0,1.428,5.0,B,12.0,154.0,0.0,500.0,326.0,94.0,24900.0,6.5,0.0,622.5,Budget (<€30k)
Škoda,Elroq 50 (MY25),310.0,351.0,52.0,1.946,5.0,C,9.0,168.0,90.0,750.0,470.0,111.0,33900.0,5.96,32.14,651.92,Mid-range (€30k–€60k)
Mercedes-Benz,EQA 250+,420.0,414.0,70.5,2.05,5.0,C,8.6,168.0,90.0,750.0,340.0,126.0,52205.0,5.96,32.14,740.5,Mid-range (€30k–€60k)
Renault,5 E-Tech 40kWh 120hp,260.0,269.0,40.0,1.447,5.0,B,9.0,154.0,55.0,500.0,326.0,103.0,27900.0,6.5,21.43,697.5,Budget (<€30k)
Peugeot,e-5008 73 kWh,370.0,388.0,73.0,2.26,7.0,D,9.7,197.0,90.0,750.0,348.0,140.0,51250.0,5.07,27.41,702.05,Mid-range (€30k–€60k)
Opel,Mokka-e 50 kWh,260.0,285.0,46.3,1.598,5.0,B,9.2,178.0,78.0,750.0,310.0,154.0,40650.0,5.62,26.29,877.97,Mid-range (€30k–€60k)
Alpine,A390 GT,470.0,486.0,89.0,2.199,5.0,D,4.8,189.0,120.0,750.0,532.0,144.0,66000.0,5.28,38.1,741.57,Premium (€60k–€90k)
Hyundai,Kona Electric 39 kWh,245.0,223.0,39.2,1.61,5.0,B,9.9,160.0,37.0,750.0,332.0,149.0,36400.0,6.25,13.88,928.57,Mid-range (€30k–€60k)
Opel,Frontera Electric 44 kWh,240.0,249.0,43.8,1.589,5.0,B,12.1,183.0,60.0,350.0,460.0,118.0,28990.0,5.48,19.67,661.87,Budget (<€30k)
Honda,e:Ny1,335.0,318.0,61.9,1.73,5.0,B,7.6,185.0,60.0,750.0,361.0,130.0,38990.0,5.41,19.46,629.89,Mid-range (€30k–€60k)
Audi,Q6 SUV e-tron quattro,480.0,567.0,94.9,2.4,5.0,D,5.9,198.0,200.0,750.0,590.0,161.0,74700.0,5.06,60.61,787.14,Premium (€60k–€90k)
BMW,i4 M60 xDrive,465.0,524.0,81.1,2.285,5.0,D,3.7,174.0,130.0,750.0,470.0,167.0,72900.0,5.73,44.83,898.89,Premium (€60k–€90k)
Opel,Astra Electric,320.0,343.0,50.8,1.736,5.0,C,9.2,159.0,85.0,750.0,352.0,123.0,41990.0,6.3,32.08,826.57,Mid-range (€30k–€60k)
Hyundai,IONIQ 5 N (MY24),390.0,482.0,80.0,2.225,5.0,C,3.4,205.0,205.0,750.0,480.0,191.0,74900.0,4.88,60.0,936.25,Premium (€60k–€90k)
Audi,Q8 SUV e-tron 55 quattro,505.0,515.0,106.0,2.585,5.0,E,5.6,210.0,144.0,750.0,631.0,171.0,87300.0,4.76,41.14,823.58,Premium (€60k–€90k)
Honda,e,170.0,169.0,28.5,1.588,4.0,B,9.0,168.0,32.0,750.0,171.0,215.0,33850.0,5.96,11.43,1187.72,Mid-range (€30k–€60k)
Alpine,A290 Electric 220 hp,305.0,316.0,52.0,1.554,5.0,B,6.4,170.0,70.0,500.0,326.0,135.0,41900.0,5.87,24.71,805.77,Mid-range (€30k–€60k)
Tesla,Model X Dual Motor,485.0,539.0,95.0,2.415,7.0,F,3.9,196.0,140.0,750.0,608.0,242.0,115970.0,5.11,42.86,1220.74,Luxury (€90k–€150k)
Tesla,Model 3 Standard Range Plus (CATL LFP55),350.0,412.0,52.5,1.825,5.0,D,5.6,150.0,95.0,750.0,649.0,136.0,45560.0,6.67,38.0,867.81,Mid-range (€30k–€60k)
MG,Marvel R,365.0,344.0,70.0,1.885,5.0,C,7.9,192.0,82.0,750.0,507.0,125.0,46990.0,5.21,25.62,671.29,Mid-range (€30k–€60k)
Fiat,500e Hatchback 24 kWh,135.0,153.0,21.3,1.255,4.0,B,9.0,158.0,40.0,750.0,185.0,219.0,30990.0,6.34,15.19,1454.93,Mid-range (€30k–€60k)
CUPRA,Born 170 kW - 79 kWh,470.0,526.0,79.0,1.977,5.0,C,7.1,168.0,135.0,750.0,385.0,92.0,47350.0,5.95,48.21,599.37,Mid-range (€30k–€60k)
Volvo,EX90 Twin Motor (MY24-25),505.0,546.0,107.0,2.754,7.0,F,5.9,212.0,150.0,750.0,703.0,187.0,91700.0,4.72,42.45,857.01,Luxury (€90k–€150k)
Porsche,Macan 4 Electric (MY24-25),470.0,563.0,95.0,2.405,5.0,D,5.2,202.0,200.0,750.0,624.0,180.0,84100.0,4.95,59.41,885.26,Premium (€60k–€90k)
BMW,iX2 eDrive20,395.0,427.0,64.7,1.96,5.0,C,8.6,164.0,93.0,750.0,525.0,135.0,49400.0,6.11,34.02,763.52,Mid-range (€30k–€60k)
Volkswagen,ID. Buzz LWB Pro,390.0,432.0,86.0,2.628,7.0,N,7.9,221.0,145.0,750.0,385.0,159.0,62719.0,4.53,39.37,729.29,Premium (€60k–€90k)
Zeekr,001 Long Range RWD,505.0,547.0,94.0,2.275,5.0,E,7.2,186.0,135.0,750.0,539.0,118.0,44990.0,5.37,43.55,478.62,Mid-range (€30k–€60k)
Dacia,Spring Electric 65,160.0,149.0,25.0,1.032,4.0,A,13.7,156.0,29.0,750.0,343.0,119.0,18900.0,6.4,11.15,756.0,Budget (<€30k)
Tesla,Model S Long Range,530.0,561.0,95.0,2.255,5.0,F,3.8,179.0,110.0,750.0,894.0,155.0,79990.0,5.58,36.87,842.0,Premium (€60k–€90k)
Tesla,Model S 85D,420.0,423.0,80.8,2.184,5.0,F,4.4,192.0,95.0,750.0,895.0,225.0,92800.0,5.2,29.69,1148.51,Luxury (€90k–€150k)
XPENG,G9 RWD Long Range (MY24),480.0,592.0,93.1,2.285,5.0,E,6.4,194.0,224.0,750.0,731.0,132.0,63600.0,5.16,69.28,683.14,Premium (€60k–€90k)
Volkswagen,ID.7 Pro S (MY26),525.0,600.0,86.0,2.226,5.0,E,6.6,164.0,145.0,750.0,532.0,113.0,59095.0,6.1,53.05,687.15,Mid-range (€30k–€60k)
Suzuki,e VITARA 61 kWh 2WD,330.0,307.0,59.8,1.835,5.0,B,8.7,181.0,60.0,750.0,238.0,111.0,44990.0,5.52,19.89,752.34,Mid-range (€30k–€60k)
Ford,Mustang Mach-E ER RWD (MY24),480.0,489.0,91.0,2.161,5.0,D,5.9,190.0,115.0,750.0,619.0,120.0,58500.0,5.27,36.32,642.86,Mid-range (€30k–€60k)
Audi,Q4 e-tron 40,325.0,378.0,59.0,2.035,5.0,C,8.1,182.0,110.0,750.0,520.0,148.0,46150.0,5.51,36.26,782.2,Mid-range (€30k–€60k)
Peugeot,e-208 51 kWh (MY24),315.0,341.0,48.1,1.53,5.0,B,8.2,153.0,80.0,750.0,309.0,124.0,40875.0,6.55,31.37,849.79,Mid-range (€30k–€60k)
KGM,Musso EV 4WD,360.0,350.0,81.0,2.385,5.0,N,8.0,225.0,100.0,750.0,907.0,135.0,44990.0,4.44,26.67,555.43,Mid-range (€30k–€60k)
Fiat,600e,310.0,333.0,50.8,1.595,5.0,B,9.0,164.0,79.0,750.0,360.0,116.0,36490.0,6.1,28.9,718.31,Mid-range (€30k–€60k)
Ford,Capri Extended Range RWD,455.0,477.0,77.0,2.098,5.0,D,6.4,169.0,120.0,750.0,572.0,112.0,50911.0,5.91,42.6,661.18,Mid-range (€30k–€60k)
CUPRA,Tavascan VZ,425.0,446.0,77.0,2.273,5.0,C,5.5,181.0,120.0,750.0,540.0,144.0,60780.0,5.52,39.78,789.35,Premium (€60k–€90k)
Opel,Corsa Electric 51 kWh (MY24),315.0,341.0,48.1,1.544,5.0,B,8.1,153.0,80.0,750.0,267.0,118.0,38045.0,6.55,31.37,790.96,Mid-range (€30k–€60k)
Mercedes-Benz,EQE 350+ (MY24),555.0,597.0,96.0,2.415,5.0,E,6.5,173.0,141.0,750.0,430.0,136.0,71412.0,5.78,48.9,743.88,Premium (€60k–€90k)
Volkswagen,ID. Buzz Pro,345.0,368.0,77.0,2.459,5.0,N,10.2,223.0,115.0,750.0,385.0,183.0,64581.0,4.48,30.94,838.71,Premium (€60k–€90k)
Kia,EV6 GT,360.0,449.0,74.0,2.2,5.0,C,3.5,206.0,200.0,750.0,500.0,198.0,72990.0,4.86,58.25,986.35,Premium (€60k–€90k)
Renault,Zoe ZE50 R135,310.0,271.0,52.0,1.577,5.0,B,9.5,168.0,41.0,750.0,338.0,117.0,37840.0,5.96,14.64,727.69,Mid-range (€30k–€60k)
Hyundai,IONIQ 5 Long Range 2WD (MY21),370.0,459.0,70.0,1.985,5.0,C,7.4,189.0,185.0,750.0,588.0,130.0,45900.0,5.29,58.73,655.71,Mid-range (€30k–€60k)
Volvo,EX40 Single Motor ER (MY26),400.0,441.0,79.0,2.075,5.0,C,7.3,198.0,125.0,750.0,441.0,133.0,55490.0,5.06,37.88,702.41,Mid-range (€30k–€60k)
Peugeot,e-5008 97 kWh Long Range,485.0,496.0,96.9,2.316,7.0,D,9.6,200.0,135.0,750.0,348.0,115.0,55350.0,5.01,40.5,571.21,Mid-range (€30k–€60k)
Polestar,2 Long Range Single Motor (MY26),475.0,533.0,79.0,2.084,5.0,D,6.2,166.0,125.0,750.0,448.0,113.0,52690.0,6.01,45.18,666.96,Mid-range (€30k–€60k)
BYD,SEAL 61.4 kWh RWD Comfort,365.0,384.0,61.4,2.045,5.0,D,7.5,168.0,75.0,750.0,453.0,121.0,46990.0,5.94,26.79,765.31,Mid-range (€30k–€60k)
BYD,DOLPHIN SURF 30 kWh Active,190.0,199.0,30.0,1.369,4.0,B,11.1,158.0,45.0,750.0,308.0,118.0,22990.0,6.33,17.09,766.33,Budget (<€30k)
Tesla,Model S 85,405.0,408.0,80.8,2.175,5.0,F,5.6,199.0,95.0,750.0,895.0,220.0,87400.0,5.01,28.64,1081.68,Premium (€60k–€90k)
Lexus,RZ 450e (MY23-25),350.0,384.0,64.0,2.13,5.0,D,5.6,183.0,100.0,750.0,522.0,183.0,67890.0,5.47,32.79,1060.78,Premium (€60k–€90k)
Tesla,Model S P100D,475.0,477.0,95.0,2.316,5.0,F,2.7,200.0,100.0,750.0,895.0,311.0,145420.0,5.0,30.0,1530.74,Luxury (€90k–€150k)
Hyundai,IONIQ 9 Long Range RWD,500.0,567.0,106.0,2.612,7.0,F,9.4,212.0,195.0,750.0,426.0,141.0,68500.0,4.72,55.19,646.23,Premium (€60k–€90k)
Changan,Deepal S07 Standard,410.0,386.0,78.0,2.148,5.0,D,7.9,190.0,70.0,750.0,635.0,111.0,44990.0,5.26,22.11,576.79,Mid-range (€30k–€60k)
XPENG,G6 RWD Standard Range (MY24),365.0,439.0,65.3,2.1,5.0,D,6.9,179.0,140.0,750.0,571.0,123.0,43600.0,5.59,46.93,667.69,Mid-range (€30k–€60k)
Toyota,C-HR+ 77 kWh (MY26),430.0,471.0,72.0,1.94,5.0,C,7.3,167.0,110.0,750.0,416.0,102.0,44990.0,5.97,39.52,624.86,Mid-range (€30k–€60k)
Volvo,EX30 Twin Motor Performance (MY24-26),340.0,384.0,65.0,1.96,5.0,B,3.6,191.0,114.0,750.0,325.0,145.0,51690.0,5.23,35.81,795.23,Mid-range (€30k–€60k)
Mercedes-Benz,EQS SUV 450 4MATIC,530.0,543.0,118.0,2.84,7.0,F,6.1,223.0,160.0,750.0,645.0,247.0,114609.0,4.49,43.05,971.26,Luxury (€90k–€150k)
BYD,ATTO 2 64.8 kWh,310.0,347.0,58.0,1.68,5.0,B,7.9,187.0,100.0,750.0,400.0,130.0,44990.0,5.34,32.09,775.69,Mid-range (€30k–€60k)
Porsche,Taycan,410.0,517.0,71.0,2.125,5.0,F,5.4,173.0,183.0,750.0,491.0,218.0,88399.0,5.77,63.47,1245.06,Premium (€60k–€90k)
Tesla,Model S 90D,455.0,449.0,85.5,2.223,5.0,F,4.4,188.0,90.0,750.0,895.0,230.0,103320.0,5.32,28.72,1208.42,Luxury (€90k–€150k)
Porsche,Taycan 4S,395.0,507.0,71.0,2.215,5.0,F,4.0,180.0,183.0,750.0,491.0,272.0,108867.0,5.56,61.0,1533.34,Luxury (€90k–€150k)
Nissan,e-NV200 Evalia,170.0,157.0,37.0,1.667,7.0,N,14.0,218.0,40.0,750.0,385.0,248.0,43730.0,4.59,11.01,1181.89,Mid-range (€30k–€60k)
Volvo,XC40 Recharge Single Motor (MY24),340.0,352.0,66.0,2.04,5.0,C,7.3,194.0,85.0,750.0,441.0,144.0,47500.0,5.15,26.29,719.7,Mid-range (€30k–€60k)
